Cold emails,"Reaching out - Factmata
Dear Mr. Cuban,
Apologies for my cold message. / am the founder of a Google backed startup called
Factmata, that uses artificial intelligence to perform automated fact checking and
referencing. We are a team of 3 NLP researchers and scientists with 30+ published
and cited papers within natural language processing, question answering and
information extraction.l am currently fundraising from people who care about the
problem of online misinformation, want to reduce mistrust in the media, and change
the way we consume online content. / would love to tell you more about us if of
interest, especially given your recent public discussions about this topic.
Look forward to hearing from you soon,
Best regards,
Dhruv"
Cold emails,"John Lee (MIT graduate) - Inquiry into Biomedical Engineering Openings
1234567@gmail.com
John Lee (MIT graduate) - Inquiry into Biomedical Engineering Openings
Dear Mr. Smith
My name is John Lee. I'm currently researching positions in the field of biomedical
engineering.
As a long-time admirer of your company's ground-breaking work in X-ray imaging systems, I'm
writing to inquire about career opportunities within your organization.
I'm a graduate of The Massachusetts Institute of Technology with specialization in the design
and analysis of low-cost X-ray imaging systems. It's my belief that my expertise, experience,
and passion for the field of X-ray imaging systems make me a strong candidate for a position
at your company.
For your convenience, I have attached my resume and cover letter with more information I
would love to arrange a time to meet with you whenever you're available. You can contact me
by email at this address or call me on 555-5555.
Thank you in advance for your consideration, and I look forward to speaking with you.
Kind Regards
John Lee
Send
A
0"
Cold emails,"Editorial internship inquiry
Carolina VonKampen
5/12/16
to info
Dear Ms. Essner, Ms. Makansi and Ms. Miller,
I'm an English and history student at Concordia University in Nebraska I'm spending the summer in Missouri and I'm looking for an internship in publishing in St. Louis I know that my good friend
Hannah
has already secured an internship at one of your imprints (Treehouse, I believe). but thought I'd ask anyway: are you in need of a editorial intern this summer?
I
have plenty of experience editing I am the managing editor of my campus newspaper for the upcoming school year, I was the copy editor of the newspaper this past school year, I have edited
my school's creative writing journal for the past two years, I completed an editorial internship at Concordia Publishing House in St. Louis last summer, and I am just starting a remote editorial
internship with the international English honor society Sigma Tau Delta's two journals I have experience working in offices and am familiar with working with others in an office setting as well as
working independently on tasks
As I said, I have a remote internship for the summer and fall, but I'd like to get experience in a publisher's office and with book publishing I follow both Walrus Publishing and Blank State Press on
Twitter, and think I'd be a good fit with either imprint I'd love to get more familiar with the publishing and writing scene in St. Louis, and both imprints look like they're deeply rooted in the
community which is what I'm looking for.
Please see either my resume or my Linkedin profile (https://www.linkedin.com/in/carolinavonkampen) for specific details about my work and publishing experience and please let me know if you
have any questions I'm available to start work on May 25, and I'm available for a phone or Skype interview before then I look forward to hearing from you
Best,
Carolina VonKampen"
Cold emails,"Interested in Eight Sleep Marketing Internship
L
Remind me if no reply
to Me
NOV 27
Hi Delian,
I've been following you on Twitter for a while and know that one of your portfolio companies is Eight
Sleep. They recently posted a job opening for a Marketing Internship in NY next summer and I am very
interested in it.
I
love Eight Sleep because I am fascinated and excited about the new wave in health technologies that
can really impact people's overall wellbeing. My dad is a doctor so seeing the type of work he is doing
being translated into consumer products is thrilling. Allowing people to take control of their health,
like Eight Sleep is doing for sleep, is something that moves me like no other.
When thinking about their marketing I know that recommendations and review are critical to products
like Eight Sleep's mattresses and pods due to the high commitment and price point. Because of this,
leveraging both micro and macro influencers through broader channels other than Instagram, such as
Youtube, would be a great way to gain consumer trust. I would be able to help Eight Sleep with this
type of marketing strategy and more and would be thrilled to work with a team of their caliber.
Do you know who is best to contact regarding this internship and would you be able to connect me
with them?"
Cold emails,"Hey, my name's Niraj Pant.
I understand your time is valuable. I'll only
write three bullet points.
Programming since 8th grade.
Have most experience working in Java/Obj-
C/Android/iOS.
Want to intern for Snapchat this summer as a
high school junior. How?
Thanks,
Niraj"
Cold emails,"Looking for an internship at LMNOP Videos D
Inbox 3
John V. Beck Smith <John@bexample.com>
9:14 AM (1 hour ago)
to me
Hi John V. Beck Smith,
My name is XYZ, I am a customer relations specialist based in
I am reaching out to inquire if you have, or are likely to have any job opportunities at 123 Vidoes
A review of my qualifications showcases years of demonstrated work experience providing exceptional sales
and client servicing support and ensuring projects are completed efficiently, with extreme confidentiality and
the respect to ensure the delivery of an unprecedented customer experience for every client, every time.
Thank you.
Have a great day!
Warmest regards,
XYZ"
Cold emails,"Internship Application
Inbox x
X
Janice Lee <jncefee@gmail.com>
C
Mon Mar 2. 8:00 AM
is
to support -
Good Morning
My name is Janice Lee and I am currently a freshman at Rutgers University I am reaching out because I am interested in internship opportunities with
and would love to learn more about how I can help the company
I
reached out a while back expressing my interest in working with
I have attached my resume for your review and would be more
than happy to provide more information or answer any questions you may have As a summary I am a Marketing Major and am pursuing an
entrepreneurship concentration I am experienced in marketing on social media client communication and website designing Please feel free to
contact me through this email
Thank you for your time!
Best
Janice L."
Cold emails,"ROHAN M PUNAMIA
1/26/15
to
.
Hi
I understand you are very busy but would love to have the opportunity to talk with you a little bit about
Do you have some time for a quick call?
Best,
Rohan"
Cold emails,"Dear Mr. Smith:
I was pleased to read in the Houston Business Journal that Widgets R Us has been so successful in the Houston
market this year. I am a junior majoring in finance at the Bauer College of Business at University of Houston
and I am trying to decide what aspect of finance I would like to concentrate on when I graduate Based on the
article, it seems like the manufacturing industry is doing very well, so I was wondering if I could take 30
minutes of your time in the next week or two to get your thoughts on what it is like to work in manufacturing
and on the future of the industry I need help gathering information so I can start making some decisions
about my next steps in school
I know that you are extremely busy, so I would be happy to take you for a cup of coffee before work or meet
by phone if an in-person meeting in your office is too difficult to schedule.
Thank you in advance for your time and insights. I look forward to hearing from you soon.
Best Regards,
Bobby Gateway"
Cold emails,"Dear Ms. Timberlake
Congratulations on your expansion into the Houston market I read about your new warehouse in the
Houston Business Journal and I would like the opportunity to speak to you personally to learn more about
your company's growth and the possibility of joining the logistics group. My relevant experience includes:
Bachelor of Business Administration in Supply Chain from the University of Houston Bauer College of
Business - graduating this Spring
Logistics internship with UPS last summer
Vice President of the UH chapter of ISM
Class Project on Supply Chain efficiency with HEB
Please feel free to contact me at the phone number or email listed on my enclosed resume. I will also call next
week to see if we can arrange a meeting
Thank you in advance for your time and consideration I look forward to speaking with you soon.
Best Regards,
Bobby Gateway"
Cold emails,"summer internships
Brittany Watson <britt
@gmail.com>
C
3/25/08
to info
Dear
Representative
I
am graduate student in interior design and I am highly interested in an internship with
your firm for the summer. For your perusal, I am attaching three documents: my resume,
cover letter, and portfolio. Please feel free to contact me at this email address or my cell
phone at
Thank you and have a wonderful day.
Cheers,
Brittany Watson
3 attachments - Download all attachments
Brittany Watson Resume March 2008 final.pdf
105K View Download
Cover Letter
Brittany Watson.pdf
70K View Download
Portfolio Brittany Watson.pdf
2297K View Download"
Cold emails,"To: designeriadmire@email.com
Subject: Creative work, coffee and a chat?
Hi [name].
I saw that you're looking to grow your team, so I thought I'd drop you a line.
I wanted to let you know how much I enjoyed your recent work for [client]. The
combination of simple design and engaging copy made it really memorable, and
it actually inspired me to start a self-initiated project on the topic.
Having spent the past few months freelancing at [studio], I've realised that I'd
like to focus on more conceptually-driven work and storytelling
While considering studios whose work I not only love. but where I feel I'd have a
lot to give, yours was the first to come to mind.
Would you have any time in the next few weeks to meet for a coffee? It would be
great to show you some of my recent work and hear your thoughts.
I look forward to hearing from you,
[Name]"
Cold emails,"Hello,
I noticed your Twitter post about the engineer positions you're looking to fill. I've been a fan for
some time while working as an engineer at XYZ and wanted to put my hat in for the position.
I took some time to create a short demo of a feature | think your users would love to show what
I can do:
Feature demo example (2 mins)
I've used the service for a while and always find myself wishing I could just click to see the
entire list when I'm dragging and dropping, as opposed to having to go back into each feature
section.
I have a lot of experience working with JS and Ruby and am an avid user of SaaS tools like
ABC's, so I believe I'd be a great addition to the team.
Looking forward to hearing what you think of the demo. If | don't hear from you by Monday of
next week, I'll follow up to check in.
Thanks for your time,
John"
Cold emails,"Good morning Steve,
I wanted to reach out to you as I saw an internship opportunity advertised on your website for a ""Junior Content Marketer'
I've been a blogger for the last 5 years, and have plenty of experience in content marketing. Naturally, curiosity got the
better of me and I decided to do some research on your company and the available internship position.
The reviews I read about your company are nothing short of impressive It was at that point that I thought I should probably
apply for the position.
Please see attached my resume and cover letter. Let me know if you have any questions.
I would be most delighted at the opportunity to work with you.
PS. I notice your website says you enjoy writing about performance cars. I thought you might appreciate this article I wrote
on the Bugatti Veyron in 2017.
Rachel Glover
Blogger"
Cold emails,"Hi Robert,
First of all, I want to thank you for taking the time to read my email. You must get a lot of emails every day, so I'll keep it short.
I found the job advertised on LinkedIn and instantly went on to do some research on the company. I had a look at the website and really
like the work that you do. I also noticed on Linkedin that your hobbies include fishing. Let's just say, I think we would get along!
I would like to apply for the advertised position titled ""Senior Photographer"". Please find attached my Resume and Cover Letter.
believe my experience and skills in the photography field would be put to good use in your company.
Please let me know if you have any questions or would like to know more about me, and I would be happy to have a chat."
Cold emails,"Subject: Available Jobs for High School Student
From: Joseph Previte Date: 11/15/2011 5:58 PM
To: jobs@verbling.com
Hi, my name is Joe Previte and I am a high school senior looking for a part time job either testing,
advertising, or developing new ideas for Verbling. Languages fascinate me and I how Verbling helps
people better perfect their languages across the globe.
I am currently in my 5th of learning Spanish in school and plan to major in Spanish in college along
with Mathematics to hopefully one day, teach math in a Spanish speaking country.
I
have two years of experience using Adobe Photoshop and Dreamweaver, Final Cut Pro, and Adobe
Premiere. If there is any job opportunity open for me, I would love to work for Verbling.
Thanks!
Joe Previte"
Cold emails,"Internship Application
Brian Tan
SAVE
5/21/15
to winners
Hi Zap!
I am Brian Tan, a fresh high school graduate from Xavier School. I am wondering, do you have an internship slot open from this
June - August? I am currently looking for internships in fast-growing startups in the Philippines, and I would love to work at a
company like yours whose service I use myself.
I saw your website online about careers at Zap, so I decided to give it a shot and email you guys, even if I'm just fresh off high
school. I have a passion to learn as much as I can from this experience, and be assured that my work ethic will be as high as
any other employee there. Attached here is my resume. Thank you! :)
PDF
Brian's Updated"
Cold emails,"Internship Application
Inbox
x
T
Brian Tan
SAVE
5/21/15
to make.it.happen
Hi Coins.ph!
I am Brian Tan, a fresh high school graduate from Xavier School. I am wondering, do you have an internship slot open from this
June - August? I am currently looking for internships in fast-growing startups in the Philippines, and I would love to work at a
company like yours whose service I've used myself.
I saw your website online about careers at coins.ph. so I decided to give it a shot and email you guys, even if I'm just fresh off
high school. I'm very interested to be an intern under your engineering or business departments. I have a passion to learn as
much as I can from this experience, and be assured that my work ethic will be as high as any other employee there. Attached
here is my resume. Thank you! :)
Brian's Updated"
Cold emails,"FELICITY KENDWELL
Internship
20 Park Street, London Bridge, London. SEI 9EL
020 7950 5505
FelicityK@yahoo.com
Gabriel Vince
London Bridge Support Services
Dear Mr. Vince,
I AID applying for the Internship role in Business Administration at your esteemed organisation
I am currently in year 2 of a Masters in Business Administration and I'm eager to gain experience which hopefully would
help me to garnet , full time position in your company in the future
The skills I possess would make me an ideal fit for the role in I'm meticulous with detail, have & can-do positive attitude.
and (it in well in different environments
I enjoy working as part of a team. but I am equally comfortable working on my own initiative
London Bridge Support Services is 2 company that I'm excited at the prospect of working for. as you have an outstanding
repuration for delivering a quality service to customers This is shown by the awards you have claimed over the years and
your reviews on Glassdoor etc.
My long-term career goals are to work with a company that offers challenges and develops employees, and this internship
would help give me the knowledge and experience I need to achieve this
It would welcome the opportunity to discuss my experience in more detail and of course, hear more about your
organisation.
Regards
Felicity Kendwell"
Cold emails,"Job opportunities at
Inbox
Jenn L
SAVE
8/20/15
to
Dear Kathy,
I hope this message finds you well! I found your email on the
Career page and I am writing because I would love to become part of their team.
I have experience in healthcare communications and I am confident that these learned skills and experiences will flourish at
As an account
manager I worked over seven brands, liaising between our internal creative, medical, and production teams We worked strategically
to
communicate
client vision and message to physicians and patients, with the objective of increasing sales. At each stage of the product's life cycle, whether it be a
patient brochure, presentation medical kit, or banner, I oversaw the quality assurance process and ensured that the medical and creative portions were
atuned
to
the client's needs I also performed proof reading, facilitated translations, and worked with suppliers to produce on-schedule deliverables My
responsibilities also included the the creation of status reports, gantt charts, project scopes, and estimates
Other past positions include:
Dietary Interviewer for
Research Assistant foi
Research Assistant/Pr
Health Promotion and"
